,,Street,Town,State,Closing_date
0,2173,14331 Count Rd. 99,Headland,AL,1/28/2016
1,2011,18 Apple Way,Ashford,AL,1/28/2016
2,2165,952 E. Lawrence Harris Hwy,Slocomb,AL,1/28/2016
3,2186,407 West Washington St.,Abbeville,AL,1/28/2016
4,2235,6361 Hwy 72,East Gurley,AL,1/28/2016
5,2260,87395 US Hwy 278,Snead,AL,1/28/2016
6,3769,3530 Cathedral Caverns Hwy,Grant,AL,1/28/2016
7,3779,10188 Hwy 431 South,New Hope,AL,1/28/2016
8,2498,720 N Hwy 71,Mansfield,AR,1/28/2016
9,2578,3500 Mulberry Hwy 64 W,Mulberry,AR,1/28/2016
10,2601,814 W. Main,Charleston,AR,1/28/2016
11,2669,1531 E Hwy 64,Coal Hill,AR,1/28/2016
12,3819,8848 N Hwy 59,Van Buren,AR,1/28/2016
13,3878,5 Hwy 124 West,Damascus,AR,1/28/2016
14,4217,154 E Roller,Decatur,AR,1/28/2016
15,3032,905 S Gentry Blvd,Gentry,AR,1/28/2016
16,3033,800 1st Ave SE,Gravette,AR,1/28/2016
17,3034,881 W Buchanan,Prairie Grove,AR,1/28/2016
18,3358,1113 S.R. 20,Interlachen,FL,1/28/2016
19,4265,1209 East Wade St.,Trenton,FL,1/28/2016
20,4267,15726 SE Hwy 19,Cross City,FL,1/28/2016
21,4228,560 S. Broad St.,Ellaville,GA,1/28/2016
22,4229,1041 S US Hwy 1,Alma,GA,1/28/2016
23,4234,155 West Washington Ave.,Ashburn,GA,1/28/2016
24,4251,398 Barrow Ave SW,Pelham,GA,1/28/2016
25,4254,907 Marianna Hwy,Donalsonville,GA,1/28/2016
26,4261,290 Albany Ave. West,Pearson,GA,1/28/2016
27,4263,142 S. Valdosta Road,Lakeland,GA,1/28/2016
28,3065,3636 N Broadway St.,Chicago,IL,1/17/2016
29,3039,225 W Chicago Ave.,Chicago,IL,1/17/2016
30,3369,900 East Ross Ave.,Clearwater,KS,1/28/2016
31,4353,505 Housatonic St.,Burlington,KS,1/28/2016
32,4360,705 N High School Ave.,Columbus,KS,1/28/2016
33,4361,1105 East 15th St.,Ellsworth,KS,1/28/2016
34,4362,120 West Rosewood St.,Rose Hill,KS,1/28/2016
35,4651,605 Orchard Drive,Hillsboro,KS,1/28/2016
36,3755,1445 Old Highway 13,Mamou,LA,1/28/2016
37,4634,1506 Main St.,Colfax,LA,1/28/2016
38,3753,620 North Hwy 26,Lake Arthur,LA,1/28/2016
39,3815,501 West Hwy 90,Iowa,LA,1/28/2016
40,3839,9181 Hwy 67,Clinton,LA,1/28/2016
41,3849,920 Avenue G,Kentwood,LA,1/28/2016
42,3879,1495 Obrie St.,Zwolle,LA,1/28/2016
43,4647,515 3rd St.,Independence,LA,1/28/2016
44,4269,224 E Hwy 76,Anderson,MO,1/28/2016
45,4270,508 N Cliffside Dr.,Noel,MO,1/28/2016
46,4282,33597 State Hwy 112,Seligman,MO,1/28/2016
47,4289,414 N Elm,Clever,MO,1/28/2016
48,3856,410 2nd St.,Belmont,MS,1/28/2016
49,3863,2795 Hwy 371 N,Mantachie,MS,1/28/2016
50,3865,420 E Lee St.,Sardis,MS,1/28/2016
51,3866,28191 Hwy 15,Walnut,MS,1/28/2016
52,4294,519 W Veterans Ave.,Derma,MS,1/28/2016
53,4296,7104 Will Robbins Hwy,Nettleton,MS,1/28/2016
54,3211,509 Dr. Donnie H. Jones Blvd W,Princeton,NC,1/28/2016
55,3249,511 N Mckinley St.,Coats,NC,1/28/2016
56,5024,6043 US Hwy 301 S,Four Oaks,NC,1/28/2016
57,3257,112 N Main St.,Broadway,NC,1/28/2016
58,5015,908 E. 4th Ave.,Red Springs,NC,1/28/2016
59,5017,7670 Clinton Rd.,Stedman,NC,1/28/2016
60,7207,1400 B Broad St.,Oriental,NC,1/28/2016
61,5138,702 S. Wall St.,Benson,NC,1/28/2016
62,2500,945 Monroe St.,Carthage,NC,1/28/2016
63,2573,303 S. Goldsboro St.,Pikeville,NC,1/28/2016
64,6997,632 W Swannanoa Ave.,Liberty,NC,1/28/2016
65,3007,139 N Hwy 49,Richfield,NC,1/17/2016
66,3036,1593 NC Hwy 86 N,Yanceyville,NC,1/28/2016
67,3037,905 SE 2nd St.,Snow Hill,NC,1/28/2016
68,3080,182 NC 102 W,Ayden,NC,1/28/2016
69,3121,189 Hickory Tree Rd.,Midway,NC,1/28/2016
70,3756,124 E. Columbia St.,Okemah,OK,1/28/2016
71,4633,19250 E Hwy 66,Luther,OK,1/28/2016
72,2456,2310 West Main,Prague,OK,1/28/2016
73,2462,1600 West Hwy 66,Stroud,OK,1/28/2016
74,3766,2324 Seran Drive,Wewoka,OK,1/28/2016
75,3767,812 N Clarence Nash Blvd.,Watonga,OK,1/28/2016
76,1250,9032 Hwy 14,Gray Court,SC,1/28/2016
77,3798,7013 S Pine St.,Pacolet,SC,1/17/2016
78,2375,4718 Nashville Hwy,Chapel Hill,TN,1/28/2016
79,2413,523 N Military St.,Loretto,TN,1/28/2016
80,4301,400 North Main St.,Cornersville,TN,1/28/2016
81,4306,934 Hwy 79,Dover,TN,1/28/2016
82,2345,721 Dale Evans Drive,Italy,TX,1/28/2016
83,2349,221 S State Hwy 274,Kemp,TX,1/28/2016
84,2363,504 W Pine St.,Edgewood,TX,1/28/2016
85,2364,301 Hwy 69 S,Whitewright,TX,1/28/2016
86,2410,122 Commercial Ave.,Anson,TX,1/28/2016
87,2461,1003 Telephone Cir.,Merkel,TX,1/28/2016
88,2779,5 N 14th St.,Haskell,TX,1/28/2016
89,2863,1010 N Main St.,Winters,TX,1/28/2016
90,3820,501 N Main,Godley,TX,1/28/2016
91,3822,416 N Third St.,Grandview,TX,1/28/2016
92,3832,420 S US 69,Leonard,TX,1/28/2016
93,3834,428 N Dallas St.,Palmer,TX,1/28/2016
94,4312,440 E Pine St.,Frankston,TX,1/28/2016
95,4316,1787 US Hwy 259 S,Diana,TX,1/28/2016
96,4320,1005 Texas Avenue E,Waskom,TX,1/28/2016
97,4327,870 Taylor St.,Hughes Springs,TX,1/28/2016
98,4331,914 North Main St.,Lone Star,TX,1/28/2016
99,4338,504 WL Doc Dodson,Naples,TX,1/28/2016
100,4343,12522 Fm 1840,Dekalb,TX,1/28/2016
101,4345,114 Redwater Boulevard West,Maud,TX,1/28/2016
102,2524,5502 Monterey Hwy,San Jose,CA,1/28/2016
103,2949,151 E 5th St.,Long Beach,CA,1/28/2016
104,5457,8400 Edgewater Drive,Oakland,CA,1/17/2016
105,2960,4101 Crenshaw Blcd.,Los Angeles,CA,1/17/2016
106,3507,2701 Port Covington Drive,Baltimore,MD,1/17/2016
107,3496,5825 W Hope Ave.,Milwaukee,WI,1/28/2016
108,3814,6525 Glacier Hwy,Juneau,AK,2/5/2016
109,763,7201 Aaron Aronov Drive,Fairfield,AL,1/28/2016
110,4584,10400 Highland Rd.,Hartland,MI,1/28/2016
111,4369,1010 Martin Luther King Pkwy.,Durham,NC,1/28/2016
112,2837,4350 N Nellis Blvd.,Las Vegas,NV,1/17/2016
113,4342,22209 Rockside Rd.,Bedford,OH,1/28/2016
114,2606,721 US Hwy 321 BYP S Unit,Winnsboro,SC,1/28/2016
115,883,14091 FM 490,Raymondville,TX,1/28/2016
116,5493,7480 Padre Island Hwy,Brownsville,TX,1/28/2016
117,5478,8201 N FM 620,Austin,TX,1/28/2016
118,597,7075 FM 1960 Rd W,Houston,TX,1/28/2016
119,3811,61 Plaza Drive,Kimball,WV,1/28/2016
120,5783,117 Audubon Drive,Maumelle,AR,1/17/2016
121,5642,2408 Lincoln Ave.,Altadena,CA,1/28/2016
122,5688,6820 Eastern Ave.,Bell Gardens,CA,1/28/2016
123,3086,701 W Cesar E Chavez Ave.,Los Angeles,CA,1/17/2016
124,5690,2045 E Highland Ave.,San Bernardino,CA,1/28/2016
125,4173,12120 Carson St.,Hawaiian Gardens,CA,1/28/2016
126,5002,8196 West Bowles Ave.,Littleton,CO,1/17/2016
127,3021,2253 S Monaco Pkwy.,Denver,CO,1/28/2016
128,2303,333 N Main St.,West Hartford,CT,1/28/2016
129,5856,601 N West St. STE 100,Wichita,KS,1/28/2016
130,5860,9831 E Harry St.,Wichita,KS,1/28/2016
131,5873,4794 E 13th,Wichita,KS,1/28/2016
132,3097,8235 SW Apple Way,Portland,OR,1/17/2016
133,5995,17711 Jean Way,Lake Oswego,OR,1/28/2016
134,3306,1220 Gallatin Ave.,Nashville,TN,1/28/2016
135,3171,2218 Greenville Ave.,Dallas (Greenville),TX,1/28/2016
136,3451,2740 Gessner Rd.,Houston,TX,1/28/2016
137,5985,2201 West Southlake Blvd.,Southlake,TX,1/28/2016
138,4126,1901 S. Texas Ave.,Bryan,TX,1/28/2016
139,5986,4268 Legacy Drive,Frisco,TX,1/17/2016
140,3030,3850 N 124th St.,Wauwatosa,WI,1/28/2016
141,3031,N88W15559 Main St.,Menomonee Falls,WI,1/28/2016
142,5698,S14W22605 Coral Drive,Waukesha,WI,1/28/2016
143,2343,7B Calle Munoz Rivera,Villalba,PR,1/28/2016
144,2347,Bo Salto Arriba,Utuado,PR,1/28/2016
145,2342,PR 14 Parque Industrial,Coamo,PR,1/28/2016
146,3667,1 Ave Monserrate STE 1,Carolina,PR,1/28/2016
147,3684,Carr 180 KM 0 HM 2,Salinas,PR,1/28/2016
148,3689,Centro Com Rio Grande State,Rio Grande,PR,1/28/2016
149,3697,Carr 165 KM 4.7,Toa Alta,PR,1/28/2016
150,4903,941 Grinnell St.,Fall River,MA,1/28/2016
151,6648,1110 Fall River Ave.,Seekonk,MA,1/28/2016
152,6665,495 Summit Drive,Waterford,MI,1/28/2016
153,6681,25 Pace Blvd.,Warwick,RI,1/28/2016
